,0:0:0:0,0:0:1:0,0:0:2:0,0:0:3:0,0:0:4:0,0:0:5:0,0:0:6:0,0:0:7:0,0:0:8:0,0:0:9:0,1:0:0:0,1:0:1:0,1:0:2:0,1:0:3:0,1:0:4:0,1:0:5:0,1:0:6:0,1:0:7:0,1:0:8:0,1:0:9:0,2:0:0:0,2:0:1:0,2:0:2:0,2:0:3:0,2:0:4:0,2:0:5:0,2:0:6:0,2:0:7:0,2:0:8:0,2:0:9:0,0:1:0:0,0:1:1:0,0:1:2:0,0:1:3:0,0:1:4:0,0:1:5:0,0:1:6:0,0:1:7:0,0:1:8:0,0:1:9:0,1:1:0:0,1:1:1:0,1:1:2:0,1:1:3:0,1:1:4:0,1:1:5:0,1:1:6:0,1:1:7:0,1:1:8:0,1:1:9:0,2:1:0:0,2:1:1:0,2:1:2:0,2:1:3:0,2:1:4:0,2:1:5:0,2:1:6:0,2:1:7:0,2:1:8:0,2:1:9:0,0:2:0:0,0:2:1:0,0:2:2:0,0:2:3:0,0:2:4:0,0:2:5:0,0:2:6:0,0:2:7:0,0:2:8:0,0:2:9:0,1:2:0:0,1:2:1:0,1:2:2:0,1:2:3:0,1:2:4:0,1:2:5:0,1:2:6:0,1:2:7:0,1:2:8:0,1:2:9:0,2:2:0:0,2:2:1:0,2:2:2:0,2:2:3:0,2:2:4:0,2:2:5:0,2:2:6:0,2:2:7:0,2:2:8:0,2:2:9:0,0:3:0:0,0:3:1:0,0:3:2:0,0:3:3:0,0:3:4:0,0:3:5:0,0:3:6:0,0:3:7:0,0:3:8:0,0:3:9:0,1:3:0:0,1:3:1:0,1:3:2:0,1:3:3:0,1:3:4:0,1:3:5:0,1:3:6:0,1:3:7:0,1:3:8:0,1:3:9:0,2:3:0:0,2:3:1:0,2:3:2:0,2:3:3:0,2:3:4:0,2:3:5:0,2:3:6:0,2:3:7:0,2:3:8:0,2:3:9:0
0,968.0,316.0,6.0,58.0,78.0,6.0,60.0,686.0,1144.0,336962.0,1070.0,487.0,9.0,90.0,112.0,9.0,86.0,898.0,1176.0,76904.0,948.0,239.0,5.0,44.0,54.0,5.0,42.0,746.0,1094.0,196066.0,1011.0,411.0,8.0,76.0,101.0,8.0,78.0,615.0,1260.0,336962.0,1039.0,481.0,9.0,89.0,111.0,9.0,85.0,781.0,1185.0,76904.0,1022.0,444.0,9.0,82.0,107.0,9.0,82.0,589.0,1223.0,196066.0,993.0,400.0,8.0,74.0,95.0,8.0,73.0,611.0,1194.0,336962.0,1042.0,475.0,9.0,88.0,105.0,9.0,81.0,834.0,1152.0,76904.0,988.0,384.0,8.0,71.0,93.0,8.0,71.0,607.0,1142.0,196066.0,986.0,312.0,6.0,58.0,81.0,7.0,62.0,516.0,1149.0,336962.0,1045.0,486.0,9.0,90.0,110.0,9.0,84.0,831.0,1149.0,76904.0,999.0,370.0,7.0,68.0,95.0,8.0,73.0,511.0,1120.0,196066.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
