,0:0:0:0,1:0:0:0,2:0:0:0,0:0:1:0,1:0:1:0,2:0:1:0,0:0:2:0,1:0:2:0,2:0:2:0,0:0:3:0,1:0:3:0,2:0:3:0,0:0:4:0,1:0:4:0,2:0:4:0,0:0:5:0,1:0:5:0,2:0:5:0,0:0:6:0,1:0:6:0,2:0:6:0,0:0:7:0,1:0:7:0,2:0:7:0,0:0:8:0,1:0:8:0,2:0:8:0,0:0:9:0,1:0:9:0,2:0:9:0,0:1:7:0,2:1:9:0,2:1:2:0,2:1:3:0,1:1:7:0,0:1:0:0,2:1:0:0,1:1:0:0,2:1:5:0,2:1:8:0,1:1:6:0,0:1:3:0,2:1:1:0,0:1:5:0,1:1:3:0,0:1:4:0,1:1:5:0,0:1:6:0,2:1:4:0,1:1:4:0,1:1:9:0,0:1:9:0,2:1:7:0,1:1:8:0,0:1:1:0,1:1:1:0,2:1:6:0,1:1:2:0,0:1:2:0,0:1:8:0,1:2:5:0,1:2:2:0,0:2:8:0,1:2:9:0,2:2:7:0,1:2:4:0,1:2:8:0,2:2:3:0,0:2:4:0,0:2:1:0,2:2:2:0,2:2:1:0,0:2:9:0,0:2:5:0,0:2:2:0,2:2:5:0,2:2:8:0,1:2:1:0,2:2:6:0,0:2:6:0,2:2:0:0,1:2:6:0,1:2:7:0,2:2:4:0,0:2:7:0,0:2:0:0,1:2:0:0,1:2:3:0,0:2:3:0,2:2:9:0,1:3:7:0,2:3:5:0,0:3:6:0,0:3:0:0,1:3:0:0,0:3:3:0,2:3:8:0,0:3:7:0,0:3:4:0,2:3:2:0,2:3:9:0,2:3:0:0,0:3:2:0,2:3:1:0,2:3:7:0,1:3:2:0,1:3:3:0,1:3:5:0,0:3:9:0,1:3:4:0,0:3:5:0,0:3:1:0,2:3:6:0,1:3:8:0,1:3:9:0,2:3:3:0,1:3:1:0,0:3:8:0,2:3:4:0,1:3:6:0
0,955.0,1077.0,1120.0,4443.0,12046.0,13097.0,4.0,9.0,10.0,33.0,88.0,96.0,1205.0,3471.0,3879.0,3.0,9.0,10.0,30.0,85.0,95.0,741.0,1010.0,1088.0,1129.0,1127.0,1158.0,47176.0,7451.0,5051.0,694.0,5051.0,10.0,92.0,952.0,961.0,1102.0,1068.0,9.0,1163.0,71.0,18.0,12513.0,2.0,76.0,672.0,8.0,17.0,3564.0,2882.0,7451.0,47176.0,1026.0,1164.0,2423.0,10399.0,87.0,8.0,2.0,1189.0,9.0,9.0,1097.0,7451.0,1047.0,3367.0,1125.0,97.0,1117.0,3744.0,10.0,13219.0,47176.0,3.0,3.0,10.0,1149.0,11644.0,95.0,28.0,1102.0,82.0,970.0,3890.0,558.0,967.0,1067.0,86.0,28.0,5051.0,965.0,10.0,34.0,967.0,1066.0,36.0,1152.0,640.0,1365.0,10.0,5051.0,1112.0,4.0,13184.0,1041.0,9.0,88.0,9.0,47176.0,3418.0,4.0,4863.0,94.0,1135.0,7451.0,97.0,11948.0,1169.0,3852.0,84.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
